barangay,household_id,member_id,worked_last_week,job_last_week,work_prov,work_city,primary_occupation,industry,nature_of_employment,class_of_worker,basis_of_payment,other_job,worked_hours,want_more_hours,farmer,fisher,looking_for_work,reason_not_looking,availability_for_work,willing_to_work
Anitap,ANI-0001,ANI-0001-1,2,,,,,,,,,,,,2,2,2,05,,1
Anitap,ANI-0001,ANI-0001-2,2,,,,,,,,,,,,2,1,1,,1,1
Anitap,ANI-0001,ANI-0001-3,1,1,797,755,799477,99415,3,1,6,2,29,2,1,2,2,06,,1
Anitap,ANI-0001,ANI-0001-4,1,3,739,710,805294,57565,1,3,1,1,35,1,2,2,2,02,,2
Anitap,ANI-0002,ANI-0002-1,,,,,,,,,,,,,,,,,,
Anitap,ANI-0002,ANI-0002-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0002,ANI-0002-3,1,1,393,785,757164,58246,1,5,4,1,53,2,1,2,2,06,,2
Anitap,ANI-0002,ANI-0002-4,1,1,280,216,836016,54906,2,5,0,2,39,1,2,2,2,04,,1
Anitap,ANI-0002,ANI-0002-5,1,3,105,968,754357,47916,1,0,5,2,20,2,2,2,2,06,,1
Anitap,ANI-0002,ANI-0002-6,1,2,253,549,852954,42844,2,1,2,1,37,1,2,1,2,08,,2
Anitap,ANI-0003,ANI-0003-1,2,,,,,,,,,,,,2,2,2,03,,2
Anitap,ANI-0003,ANI-0003-2,1,1,991,185,841118,46187,3,1,7,1,48,1,1,2,2,03,,2
Anitap,ANI-0004,ANI-0004-1,2,,,,,,,,,,,,2,2,1,,1,1
Anitap,ANI-0005,ANI-0005-1,1,2,853,985,879148,48996,2,6,0,2,27,2,1,2,2,05,,2
Anitap,ANI-0005,ANI-0005-2,1,1,474,258,836480,39090,1,6,5,1,42,2,1,2,2,09,,2
Anitap,ANI-0005,ANI-0005-3,1,3,245,598,856298,57622,2,0,1,2,55,1,1,2,2,99,,1
Anitap,ANI-0006,ANI-0006-1,2,,,,,,,,,,,,2,2,2,05,,1
Anitap,ANI-0006,ANI-0006-2,1,2,340,825,788296,94850,3,0,3,1,24,1,1,2,2,01,,1
