barangay,household_id,received_assistance
Anitap,ANI-0001,2
Anitap,ANI-0002,1
Anitap,ANI-0003,1
Anitap,ANI-0004,2
Anitap,ANI-0005,1
Anitap,ANI-0006,1
Anitap,ANI-0007,2
Anitap,ANI-0008,2
Anitap,ANI-0009,2
Anitap,ANI-0010,1
Anitap,ANI-0011,1
Anitap,ANI-0012,1
Anitap,ANI-0013,1
Anitap,ANI-0014,1
Anitap,ANI-0015,1
Anitap,ANI-0016,1
Anitap,ANI-0017,1
Anitap,ANI-0018,1
Anitap,ANI-0019,1
Anitap,ANI-0020,1
Anitap,ANI-0021,2
Anitap,ANI-0022,1
Anitap,ANI-0023,1
Anitap,ANI-0024,1
Anitap,ANI-0025,1
Anitap,ANI-0026,2
Anitap,ANI-0027,2
Anitap,ANI-0028,1
Anitap,ANI-0029,1
Anitap,ANI-0030,1
Manuel Roxas,MAN-0001,2
Manuel Roxas,MAN-0002,2
Manuel Roxas,MAN-0003,2
Manuel Roxas,MAN-0004,2
Manuel Roxas,MAN-0005,1
Manuel Roxas,MAN-0006,1
Manuel Roxas,MAN-0007,1
Manuel Roxas,MAN-0008,2
Manuel Roxas,MAN-0009,2
Manuel Roxas,MAN-0010,2
Manuel Roxas,MAN-0011,2
Manuel Roxas,MAN-0012,2
Manuel Roxas,MAN-0013,2
Manuel Roxas,MAN-0014,1
Manuel Roxas,MAN-0015,2
Manuel Roxas,MAN-0016,1
Manuel Roxas,MAN-0017,2
Manuel Roxas,MAN-0018,1
Manuel Roxas,MAN-0019,1
Manuel Roxas,MAN-0020,1
Manuel Roxas,MAN-0021,2
Manuel Roxas,MAN-0022,2
Manuel Roxas,MAN-0023,2
Manuel Roxas,MAN-0024,1
Manuel Roxas,MAN-0025,2
Manuel Roxas,MAN-0026,2
Manuel Roxas,MAN-0027,1
Manuel Roxas,MAN-0028,2
Manuel Roxas,MAN-0029,2
Manuel Roxas,MAN-0030,1
Manuel Roxas,MAN-0031,2
Manuel Roxas,MAN-0032,2
Manuel Roxas,MAN-0033,2
Manuel Roxas,MAN-0034,2
Manuel Roxas,MAN-0035,1
Manuel Roxas,MAN-0036,1
Manuel Roxas,MAN-0037,2
Manuel Roxas,MAN-0038,2
Manuel Roxas,MAN-0039,2
Manuel Roxas,MAN-0040,1
Manuel Roxas,MAN-0041,2
Manuel Roxas,MAN-0042,2
Manuel Roxas,MAN-0043,2
Manuel Roxas,MAN-0044,1
Manuel Roxas,MAN-0045,1
Manuel Roxas,MAN-0046,2
Manuel Roxas,MAN-0047,2
Manuel Roxas,MAN-0048,2
Manuel Roxas,MAN-0049,2
Manuel Roxas,MAN-0050,2
Manuel Roxas,MAN-0051,2
Manuel Roxas,MAN-0052,2
Manuel Roxas,MAN-0053,2
Manuel Roxas,MAN-0054,2
Manuel Roxas,MAN-0055,1
Manuel Roxas,MAN-0056,1
Manuel Roxas,MAN-0057,2
Manuel Roxas,MAN-0058,2
Don Aurelio Chicote,DON-0001,2
Don Aurelio Chicote,DON-0002,1
Don Aurelio Chicote,DON-0003,2
Don Aurelio Chicote,DON-0004,2
Don Aurelio Chicote,DON-0005,1
Don Aurelio Chicote,DON-0006,1
Don Aurelio Chicote,DON-0007,1
Don Aurelio Chicote,DON-0008,1
Don Aurelio Chicote,DON-0009,2
Don Aurelio Chicote,DON-0010,2
Don Aurelio Chicote,DON-0011,2
Don Aurelio Chicote,DON-0012,2
Don Aurelio Chicote,DON-0013,1
Don Aurelio Chicote,DON-0014,1
Don Aurelio Chicote,DON-0015,1
Don Aurelio Chicote,DON-0016,1
Don Aurelio Chicote,DON-0017,2
Don Aurelio Chicote,DON-0018,2
Don Aurelio Chicote,DON-0019,1
Don Aurelio Chicote,DON-0020,1
Don Aurelio Chicote,DON-0021,2
Don Aurelio Chicote,DON-0022,2
Don Aurelio Chicote,DON-0023,2
Don Aurelio Chicote,DON-0024,2
Don Aurelio Chicote,DON-0025,2
Don Aurelio Chicote,DON-0026,1
Don Aurelio Chicote,DON-0027,1
Don Aurelio Chicote,DON-0028,2
Don Aurelio Chicote,DON-0029,1
Don Aurelio Chicote,DON-0030,2
Don Aurelio Chicote,DON-0031,1
Don Aurelio Chicote,DON-0032,2
Don Aurelio Chicote,DON-0033,2
Don Aurelio Chicote,DON-0034,2
Don Aurelio Chicote,DON-0035,2
Don Aurelio Chicote,DON-0036,1
Don Aurelio Chicote,DON-0037,2
Don Aurelio Chicote,DON-0038,1
Don Aurelio Chicote,DON-0039,2
Don Aurelio Chicote,DON-0040,1
Don Aurelio Chicote,DON-0041,1
Don Aurelio Chicote,DON-0042,1
Don Aurelio Chicote,DON-0043,2
Don Aurelio Chicote,DON-0044,1
Don Aurelio Chicote,DON-0045,1
Don Aurelio Chicote,DON-0046,2
Don Aurelio Chicote,DON-0047,2
Don Aurelio Chicote,DON-0048,2
Don Aurelio Chicote,DON-0049,2
Don Aurelio Chicote,DON-0050,1
Don Aurelio Chicote,DON-0051,2
Don Aurelio Chicote,DON-0052,2
Don Aurelio Chicote,DON-0053,1
Don Aurelio Chicote,DON-0054,1
Don Aurelio Chicote,DON-0055,2
Don Aurelio Chicote,DON-0056,2
Don Aurelio Chicote,DON-0057,2
Don Aurelio Chicote,DON-0058,1
Don Aurelio Chicote,DON-0059,2
