barangay,household_id,member_id,filipino_citizen,overseas_filipino,other_location_resided,province_moved,city_moved,barangay_moved,month_year_moved,province_from,city_from,barangay_from,internal_displacement
Anitap,ANI-0001,ANI-0001-1,3,3,2,,,,,,,,2
Anitap,ANI-0001,ANI-0001-2,1,5,1,201,377,249,01-2022,254,617,935,5
Anitap,ANI-0001,ANI-0001-3,3,4,2,,,,,,,,1
Anitap,ANI-0001,ANI-0001-4,3,,2,,,,,,,,2
Anitap,ANI-0002,ANI-0002-1,1,2,2,,,,,,,,1
Anitap,ANI-0002,ANI-0002-2,2,,2,,,,,,,,3
Anitap,ANI-0002,ANI-0002-3,3,,2,,,,,,,,5
Anitap,ANI-0003,ANI-0003-1,2,,2,,,,,,,,4
Anitap,ANI-0003,ANI-0003-2,1,3,2,,,,,,,,1
Anitap,ANI-0003,ANI-0003-3,3,4,2,,,,,,,,1
Anitap,ANI-0003,ANI-0003-4,3,,1,932,914,792,09-2006,227,462,769,5
Anitap,ANI-0004,ANI-0004-1,1,,2,,,,,,,,4
Anitap,ANI-0004,ANI-0004-2,2,,2,,,,,,,,3
Anitap,ANI-0004,ANI-0004-3,3,7,2,,,,,,,,3
Anitap,ANI-0004,ANI-0004-4,1,6,2,,,,,,,,2
Anitap,ANI-0004,ANI-0004-5,1,2,1,957,557,622,07-2022,178,483,102,2
Anitap,ANI-0005,ANI-0005-1,1,4,2,,,,,,,,5
Anitap,ANI-0005,ANI-0005-2,2,2,2,,,,,,,,2
Anitap,ANI-0005,ANI-0005-3,2,4,1,198,883,370,05-2001,538,440,415,4
Anitap,ANI-0006,ANI-0006-1,2,1,1,771,723,396,06-2022,721,893,114,1
Anitap,ANI-0006,ANI-0006-2,2,2,1,832,171,176,10-2020,571,767,129,4
Anitap,ANI-0006,ANI-0006-3,1,3,1,805,331,750,01-2004,332,111,149,4
Anitap,ANI-0006,ANI-0006-4,1,4,2,,,,,,,,3
Anitap,ANI-0006,ANI-0006-5,3,3,1,488,199,881,09-2013,830,792,706,3
Anitap,ANI-0006,ANI-0006-6,1,5,2,,,,,,,,1
Anitap,ANI-0007,ANI-0007-1,1,4,2,,,,,,,,5
Anitap,ANI-0007,ANI-0007-2,3,6,2,,,,,,,,3
Anitap,ANI-0007,ANI-0007-3,3,2,1,702,417,307,02-2016,223,675,757,1
Anitap,ANI-0008,ANI-0008-1,3,4,2,,,,,,,,5
Anitap,ANI-0008,ANI-0008-2,1,,2,,,,,,,,3
Anitap,ANI-0008,ANI-0008-3,2,4,1,203,181,172,06-2018,512,919,799,1
Anitap,ANI-0008,ANI-0008-4,2,4,1,757,204,695,04-2014,147,984,584,1
Anitap,ANI-0009,ANI-0009-1,3,6,1,173,315,270,10-2015,530,395,473,1
Anitap,ANI-0009,ANI-0009-2,2,6,2,,,,,,,,4
Anitap,ANI-0009,ANI-0009-3,3,1,1,813,863,949,08-2012,918,952,681,5
Anitap,ANI-0009,ANI-0009-4,3,6,2,,,,,,,,4
Anitap,ANI-0009,ANI-0009-5,1,,1,332,681,946,12-2009,765,661,769,2
Anitap,ANI-0009,ANI-0009-6,3,6,1,331,528,544,10-2021,782,534,649,2
Anitap,ANI-0010,ANI-0010-1,2,,1,867,652,126,11-2019,820,873,769,2
Anitap,ANI-0010,ANI-0010-2,2,5,1,290,328,670,03-2008,760,578,818,4
Anitap,ANI-0010,ANI-0010-3,1,2,1,190,934,336,11-2010,266,324,556,3
Anitap,ANI-0010,ANI-0010-4,2,5,1,654,235,553,02-2011,748,694,628,4
Anitap,ANI-0011,ANI-0011-1,1,2,1,104,619,145,07-2017,123,186,571,5
Anitap,ANI-0012,ANI-0012-1,1,2,2,,,,,,,,1
Anitap,ANI-0012,ANI-0012-2,1,5,2,,,,,,,,2
