barangay,household_id,member_id,attended_school,school_attending,current_grade_year,reason_not_attending,tvet_graduate,tvet_student,skills_training
Anitap,ANI-0001,ANI-0001-1,2,3,40000002,01,2,2,
Anitap,ANI-0001,ANI-0001-2,2,2,40000003,13,,,
Anitap,ANI-0001,ANI-0001-3,1,3,60000005,,2,1,
Anitap,ANI-0001,ANI-0001-4,1,2,20400101,,,,
Anitap,ANI-0001,ANI-0001-5,1,1,20400105,,2,2,
Anitap,ANI-0001,ANI-0001-6,2,2,30400201,13,1,2,
Anitap,ANI-0002,ANI-0002-1,1,3,10000101,,1,2,
Anitap,ANI-0002,ANI-0002-2,1,3,60000001,,,,
Anitap,ANI-0002,ANI-0002-3,1,3,10000108,,2,2,
Anitap,ANI-0002,ANI-0002-4,1,1,30500009,,2,2,
Anitap,ANI-0002,ANI-0002-5,1,1,80000010,,1,2,
Anitap,ANI-0002,ANI-0002-6,1,2,50000002,,2,2,
Anitap,ANI-0003,ANI-0003-1,2,3,50000001,01,2,1,Plumbing
Anitap,ANI-0003,ANI-0003-2,2,3,11000102,16,1,2,
Anitap,ANI-0003,ANI-0003-3,1,3,30400207,,1,1,
Anitap,ANI-0003,ANI-0003-4,1,1,30400201,,,,
Anitap,ANI-0004,ANI-0004-1,2,2,30400204,99,,,
Anitap,ANI-0004,ANI-0004-2,1,1,11000105,,2,2,
Anitap,ANI-0005,ANI-0005-1,2,2,21400302,14,,,
Anitap,ANI-0006,ANI-0006-1,1,1,30400111,,1,2,
Anitap,ANI-0006,ANI-0006-2,1,3,30500010,,,,
Anitap,ANI-0007,ANI-0007-1,1,2,20400101,,1,1,
Anitap,ANI-0007,ANI-0007-2,2,1,30400301,04,,,
Anitap,ANI-0007,ANI-0007-3,,,,,,,
Anitap,ANI-0007,ANI-0007-4,2,1,10000104,01,2,2,
Anitap,ANI-0007,ANI-0007-5,2,2,20400102,09,,,
Anitap,ANI-0008,ANI-0008-1,1,2,30400109,,2,2,
Anitap,ANI-0008,ANI-0008-2,2,3,11000301,04,2,1,Masonry
Anitap,ANI-0009,ANI-0009-1,1,2,70000010,,1,1,
Anitap,ANI-0009,ANI-0009-2,2,3,11000101,12,1,2,Electrical Installation
Anitap,ANI-0009,ANI-0009-3,2,1,60000004,02,2,1,
Anitap,ANI-0009,ANI-0009-4,2,3,10000103,18,2,1,
Anitap,ANI-0009,ANI-0009-5,1,2,10000106,,,,
Anitap,ANI-0010,ANI-0010-1,1,1,30400111,,,,
Anitap,ANI-0010,ANI-0010-2,1,3,02000000,,1,1,
Anitap,ANI-0010,ANI-0010-3,1,2,10000106,,1,2,
Anitap,ANI-0011,ANI-0011-1,1,2,11000102,,,,
Anitap,ANI-0011,ANI-0011-2,2,1,70000010,13,1,1,
Anitap,ANI-0011,ANI-0011-3,1,1,30400208,,,,
Anitap,ANI-0011,ANI-0011-4,1,2,20400105,,1,1,
Anitap,ANI-0011,ANI-0011-5,1,3,21400105,,1,1,
Anitap,ANI-0012,ANI-0012-1,1,3,40000003,,,,
Anitap,ANI-0012,ANI-0012-2,1,2,20400101,,1,2,
Anitap,ANI-0012,ANI-0012-3,2,2,10000102,03,2,2,
Anitap,ANI-0012,ANI-0012-4,2,2,50000002,12,1,2,
Anitap,ANI-0012,ANI-0012-5,1,3,30400107,,,,
