barangay,household_id,worried_food,unable_eat_healthy,few_kinds_food,skipped_meal,ate_less,ran_out_food,hungry_no_eat,one_day_no_eat
Anitap,ANI-0001,2,2,2,1,2,2,2,1
Anitap,ANI-0002,2,2,1,1,2,2,1,1
Anitap,ANI-0003,1,1,2,1,2,2,2,1
Anitap,ANI-0004,1,1,2,1,1,2,1,2
Anitap,ANI-0005,2,2,1,2,2,1,1,1
Anitap,ANI-0006,1,1,2,2,2,2,1,2
Anitap,ANI-0007,1,2,1,2,2,1,2,1
Anitap,ANI-0008,1,2,1,2,1,1,1,1
Anitap,ANI-0009,2,1,2,1,1,1,2,1
Anitap,ANI-0010,2,1,1,1,1,2,1,2
Anitap,ANI-0011,1,2,1,1,1,2,1,1
Anitap,ANI-0012,1,2,2,2,1,2,2,2
Anitap,ANI-0013,1,2,2,2,2,2,2,2
Anitap,ANI-0014,2,1,1,2,1,1,2,2
Anitap,ANI-0015,2,1,2,1,1,1,1,2
Anitap,ANI-0016,1,1,1,2,2,2,2,1
Anitap,ANI-0017,1,1,1,1,1,1,1,1
Anitap,ANI-0018,1,1,2,1,2,2,2,2
Anitap,ANI-0019,2,1,2,2,2,2,1,2
Anitap,ANI-0020,1,2,2,1,2,1,1,2
Anitap,ANI-0021,1,1,2,1,2,2,2,1
Anitap,ANI-0022,2,2,2,1,2,1,1,2
Anitap,ANI-0023,2,2,2,2,2,1,1,1
Anitap,ANI-0024,1,1,2,2,2,1,1,1
Anitap,ANI-0025,1,1,1,2,1,2,1,1
Anitap,ANI-0026,2,1,2,2,2,2,1,1
Anitap,ANI-0027,1,1,2,1,1,2,2,2
Anitap,ANI-0028,1,1,1,1,1,1,2,1
Anitap,ANI-0029,2,2,2,2,2,1,2,1
Anitap,ANI-0030,2,1,1,1,2,2,1,2
Manuel Roxas,MAN-0001,2,1,2,2,1,2,1,2
Manuel Roxas,MAN-0002,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0003,1,2,2,2,2,1,1,1
Manuel Roxas,MAN-0004,1,2,1,1,1,2,2,2
Manuel Roxas,MAN-0005,1,2,1,2,2,2,1,2
Manuel Roxas,MAN-0006,1,2,1,2,1,1,2,1
Manuel Roxas,MAN-0007,2,1,1,1,2,1,1,2
Manuel Roxas,MAN-0008,1,2,1,1,2,1,1,1
Manuel Roxas,MAN-0009,2,1,1,2,1,2,1,1
Manuel Roxas,MAN-0010,1,1,1,1,1,2,1,2
Manuel Roxas,MAN-0011,1,2,1,2,2,2,1,1
Manuel Roxas,MAN-0012,2,2,1,1,2,1,2,2
Manuel Roxas,MAN-0013,2,1,2,2,1,1,1,2
Manuel Roxas,MAN-0014,1,2,2,2,1,1,1,2
Manuel Roxas,MAN-0015,1,1,2,1,2,2,2,2
Manuel Roxas,MAN-0016,2,2,2,1,1,2,1,1
Manuel Roxas,MAN-0017,1,2,2,2,1,1,2,2
Manuel Roxas,MAN-0018,1,2,2,2,1,2,1,1
Manuel Roxas,MAN-0019,1,1,1,2,1,2,1,2
Manuel Roxas,MAN-0020,2,1,2,1,2,2,2,1
Manuel Roxas,MAN-0021,1,2,2,2,2,1,1,2
Manuel Roxas,MAN-0022,2,2,2,2,2,2,1,2
Manuel Roxas,MAN-0023,2,1,1,1,2,1,2,1
Manuel Roxas,MAN-0024,2,1,1,1,2,2,2,2
Manuel Roxas,MAN-0025,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0026,2,1,1,2,2,2,2,2
Manuel Roxas,MAN-0027,2,2,2,2,2,1,1,1
Manuel Roxas,MAN-0028,2,2,1,2,1,1,2,1
Manuel Roxas,MAN-0029,2,1,1,2,2,1,2,1
Manuel Roxas,MAN-0030,1,2,1,2,2,1,2,1
Manuel Roxas,MAN-0031,1,2,2,1,1,1,2,1
Manuel Roxas,MAN-0032,2,1,1,1,1,2,2,1
Manuel Roxas,MAN-0033,1,1,2,1,2,2,2,1
Manuel Roxas,MAN-0034,2,1,2,1,1,1,1,1
Manuel Roxas,MAN-0035,2,2,2,1,2,2,1,1
Manuel Roxas,MAN-0036,2,1,2,1,2,2,1,1
Manuel Roxas,MAN-0037,2,1,2,1,1,1,1,2
Manuel Roxas,MAN-0038,2,1,2,2,1,2,2,2
Manuel Roxas,MAN-0039,1,1,1,1,2,2,1,1
Manuel Roxas,MAN-0040,1,2,1,1,2,1,2,1
Manuel Roxas,MAN-0041,2,2,1,1,2,1,1,2
Manuel Roxas,MAN-0042,1,1,2,2,2,2,1,2
Manuel Roxas,MAN-0043,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0044,1,2,2,2,1,2,1,1
Manuel Roxas,MAN-0045,1,1,1,1,1,1,1,2
Manuel Roxas,MAN-0046,2,1,1,1,1,1,1,1
Manuel Roxas,MAN-0047,1,1,1,2,2,1,1,2
Manuel Roxas,MAN-0048,1,2,2,1,1,1,1,2
Manuel Roxas,MAN-0049,2,1,1,1,2,1,2,2
Manuel Roxas,MAN-0050,1,1,2,2,2,1,2,1
Manuel Roxas,MAN-0051,2,1,2,2,2,1,2,1
Manuel Roxas,MAN-0052,1,2,2,2,2,2,2,1
Manuel Roxas,MAN-0053,1,2,1,1,1,1,1,2
Manuel Roxas,MAN-0054,2,1,1,2,2,1,1,2
Manuel Roxas,MAN-0055,1,2,2,1,1,2,2,1
Manuel Roxas,MAN-0056,2,2,1,2,1,2,2,2
Manuel Roxas,MAN-0057,1,2,2,1,2,1,1,2
Manuel Roxas,MAN-0058,1,2,1,1,1,2,1,1
Don Aurelio Chicote,DON-0001,2,2,1,1,1,2,2,2
Don Aurelio Chicote,DON-0002,1,1,2,1,1,1,1,2
Don Aurelio Chicote,DON-0003,1,2,2,1,2,1,2,1
Don Aurelio Chicote,DON-0004,2,1,1,1,1,2,1,1
Don Aurelio Chicote,DON-0005,1,1,2,2,2,1,2,2
Don Aurelio Chicote,DON-0006,1,2,2,2,2,2,2,2
Don Aurelio Chicote,DON-0007,2,1,2,2,2,1,2,1
Don Aurelio Chicote,DON-0008,2,1,1,1,1,2,2,2
Don Aurelio Chicote,DON-0009,2,2,1,1,2,1,2,1
Don Aurelio Chicote,DON-0010,2,2,1,2,1,2,1,1
Don Aurelio Chicote,DON-0011,1,2,2,2,1,2,1,1
Don Aurelio Chicote,DON-0012,2,1,2,2,1,2,1,1
Don Aurelio Chicote,DON-0013,2,1,1,2,2,2,1,2
Don Aurelio Chicote,DON-0014,2,2,1,2,2,2,1,1
Don Aurelio Chicote,DON-0015,2,2,2,2,2,1,1,1
Don Aurelio Chicote,DON-0016,2,1,2,2,2,1,1,2
Don Aurelio Chicote,DON-0017,2,1,2,2,2,1,1,1
Don Aurelio Chicote,DON-0018,2,2,2,2,1,2,2,2
Don Aurelio Chicote,DON-0019,1,1,1,1,1,2,1,2
Don Aurelio Chicote,DON-0020,2,1,1,1,1,1,1,2
Don Aurelio Chicote,DON-0021,1,2,2,2,1,1,2,1
Don Aurelio Chicote,DON-0022,1,1,2,2,2,1,2,1
Don Aurelio Chicote,DON-0023,2,1,2,1,2,1,1,1
Don Aurelio Chicote,DON-0024,2,2,2,1,2,2,2,2
Don Aurelio Chicote,DON-0025,1,1,1,1,1,2,2,2
Don Aurelio Chicote,DON-0026,1,2,1,2,1,2,1,2
Don Aurelio Chicote,DON-0027,2,2,2,1,2,2,2,2
Don Aurelio Chicote,DON-0028,1,2,2,2,1,1,2,1
Don Aurelio Chicote,DON-0029,2,1,1,2,1,2,1,1
Don Aurelio Chicote,DON-0030,1,2,2,2,2,2,2,1
Don Aurelio Chicote,DON-0031,1,1,2,1,2,1,2,1
Don Aurelio Chicote,DON-0032,1,1,1,1,2,1,2,1
Don Aurelio Chicote,DON-0033,2,1,2,1,1,1,1,2
Don Aurelio Chicote,DON-0034,2,2,2,1,1,2,2,1
Don Aurelio Chicote,DON-0035,1,2,2,1,1,2,2,2
Don Aurelio Chicote,DON-0036,1,1,1,2,2,1,2,1
Don Aurelio Chicote,DON-0037,2,1,1,1,2,2,1,1
Don Aurelio Chicote,DON-0038,1,2,2,2,2,1,1,1
Don Aurelio Chicote,DON-0039,1,1,1,1,1,2,1,2
Don Aurelio Chicote,DON-0040,2,1,2,2,2,1,1,2
Don Aurelio Chicote,DON-0041,1,1,2,1,2,2,1,1
Don Aurelio Chicote,DON-0042,1,2,2,2,1,2,1,2
Don Aurelio Chicote,DON-0043,1,2,1,1,1,2,1,1
