barangay,household_id,building_type,num_floors,roof_material,wall_material,housing_material,floor_area,num_bedrooms,tenure_status,date_construction,electricity,lighting_fuel,cooking_fuel,num_refrigerator,num_aircon,num_washing_machine,num_stove,num_radio,num_tv,num_stereo,num_landline,num_cellphone_keypad,num_cellphone_smart,num_tablet,num_computer,num_car,num_van,num_jeep,num_truck,num_motorcycle,num_ebike,num_tricycle,num_bicycle,num_pedicab,num_motorboat,num_nonmotorboat
Anitap,ANI-0001,10,2,5,1,5,71.22,3,7,1997-12,1,1,9,1,0,0,2,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Anitap,ANI-0002,1,1,1,1,5,40.13,1,4,2016-05,1,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Anitap,ANI-0003,3,1,2,1,6,90.99,4,5,2005-07,2,5,3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anitap,ANI-0004,6,1,6,5,1,59.39,1,3,2023-04,1,1,5,0,0,1,2,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Anitap,ANI-0005,5,1,2,2,9,124.14,1,6,2006-09,1,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
Anitap,ANI-0006,8,1,3,5,6,32.42,3,3,1986-12,1,1,9,1,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Anitap,ANI-0007,9,1,6,1,3,147.68,2,5,1999-06,1,1,2,0,0,0,1,1,1,1,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,2
Anitap,ANI-0008,6,1,2,1,9,30.97,1,7,1993-05,1,1,4,0,0,0,1,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Anitap,ANI-0009,5,2,2,5,5,144.86,1,6,2004-06,1,1,5,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anitap,ANI-0010,5,2,5,1,1,63.45,1,6,1991-09,1,1,2,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,2
Anitap,ANI-0011,3,1,6,1,5,123.53,1,2,1988-03,1,1,2,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,2
Anitap,ANI-0012,4,1,1,1,2,105.65,5,1,1992-11,1,1,3,0,0,0,2,0,1,0,0,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0
Anitap,ANI-0013,5,1,4,5,1,40.62,5,7,2008-07,1,1,9,0,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Anitap,ANI-0014,10,1,2,5,5,128.85,1,5,2003-01,1,1,5,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anitap,ANI-0015,1,1,2,2,6,42.24,3,1,1992-03,2,4,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Anitap,ANI-0016,2,1,1,1,4,64.2,1,6,2011-07,1,1,6,0,1,0,2,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,2
Anitap,ANI-0017,2,1,3,1,3,34.2,1,2,1994-09,1,1,3,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anitap,ANI-0018,5,1,2,1,5,116.77,2,1,1990-12,1,1,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1
Anitap,ANI-0019,3,1,3,2,4,114.59,2,6,1985-09,1,1,2,1,0,0,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
Anitap,ANI-0020,9,1,2,2,2,90.44,4,6,1981-03,1,1,9,0,0,0,1,0,2,1,0,3,2,0,0,0,0,1,0,1,0,1,1,0,0,2
Anitap,ANI-0021,4,2,5,2,6,65.01,4,7,2003-06,1,1,2,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Anitap,ANI-0022,8,1,2,2,5,58.61,2,1,2018-06,1,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
Anitap,ANI-0023,5,1,1,4,9,99.24,1,4,2005-07,2,9,2,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Anitap,ANI-0024,8,2,4,3,5,148.52,4,7,2014-03,2,2,4,1,0,0,2,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1
Anitap,ANI-0025,7,1,1,3,2,55.6,4,7,1981-08,1,1,6,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2
Anitap,ANI-0026,3,1,3,5,2,110.93,1,6,2003-03,1,1,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0
Anitap,ANI-0027,8,1,1,1,2,89.78,4,6,1990-09,1,1,5,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,2,0,0,2,0,0,0
Anitap,ANI-0028,4,1,2,4,6,87.17,5,2,2018-07,1,1,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Anitap,ANI-0029,2,1,1,3,4,146.22,5,7,2000-07,1,1,4,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1
Anitap,ANI-0030,7,1,2,1,6,122.88,3,1,1997-08,1,1,4,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0
